time_ms,adc
100,1.60
300,1.60
500,1.60
701,1.60
902,1.61
1102,1.60
1303,1.61
1504,1.61
1704,1.61
1905,1.61
2106,1.60
2307,1.60
2507,1.60
2708,1.60
2909,1.61
3109,1.61
3309,1.61
3510,1.61
3710,1.61
3911,1.58
4112,1.61
4313,1.61
4513,1.60
4714,1.60
4915,1.61
5115,1.60
5316,1.61
5517,1.60
5718,1.61
5918,1.60
6119,1.60
6320,1.61
6520,1.61
6721,1.58
6922,1.61
7122,1.61
7322,1.61
7523,1.61
7724,1.61
7924,1.60
8125,1.61
8326,1.61
8526,1.61
8727,1.61
8928,1.61
9128,1.61
9329,1.58
9530,1.58
9731,1.60
9931,1.61
10132,1.61
10333,1.61
10533,1.61
10734,1.61
10935,1.61
11136,1.59
11336,1.58
11537,1.58
11738,1.58
11938,1.58
12139,1.58
12340,1.58
12540,1.59
12741,1.59
12942,1.59
13143,1.58
13343,1.58
13544,1.59
13745,1.61
13945,1.61
14146,1.61
14347,1.61
14547,1.61
14748,1.60
14949,1.61
15150,1.61
15350,1.61
15551,1.58
15752,1.58
15952,1.59
16153,1.59
16354,1.59
16555,1.59
16755,1.59
16955,1.59
17156,1.59
17356,1.61
17557,1.61
17758,1.61
17958,1.61
18159,1.61
18360,1.61
18561,1.61
18761,1.58
18962,1.58
19163,1.58
19363,1.59
19564,1.59
19765,1.61
19965,1.61
