1759875829.784624, time_ms,adc,voltage_V
1759875829.7847545, 100
1759875829.7848327, ,
1759875829.7849572, 582
1759875829.7850754, 300
1759875829.7851548, ,
1759875829.7852726, 640
1759875829.875626, 500
1759875829.8757133, ,
1759875829.8758302, 642
1759875830.076308, 701
1759875830.0763853, ,
1759875830.0765016, 640
1759875830.2770338, 902
1759875830.2771204, ,
1759875830.2772362, 641
1759875830.4777215, 1101
1759875830.4777982, ,
1759875830.4779136, 640
1759875830.6784866, 1302
1759875830.678573, ,
1759875830.6786878, 640
1759875830.8791091, 1503
1759875830.8791838, ,
1759875830.8793015, 640
1759875831.0797968, 1703
1759875831.079874, ,
1759875831.0800128, 640
1759875831.2804966, 1904
1759875831.2805724, ,
1759875831.2806869, 641
1759875831.4812214, 2105
1759875831.481307, ,
1759875831.4814267, 641
1759875831.6819186, 2305
1759875831.6819978, ,
1759875831.682112, 642
1759875831.8825855, 2505
1759875831.8826606, ,
1759875831.8827744, 641
1759875832.0832667, 2706
1759875832.0833416, ,
1759875832.0834544, 641
1759875832.2839935, 2907
1759875832.2840712, ,
1759875832.2841835, 640
1759875832.4846673, 3107
1759875832.484742, ,
1759875832.4848557, 641
1759875832.6853867, 3308
1759875832.6854668, ,
1759875832.6855845, 641
1759875832.8863022, 3509
1759875832.886488, ,
1759875832.8867743, 640
1759875833.087008, 3708
1759875833.0871968, ,
1759875833.0874836, 641
1759875833.287694, 3909
1759875833.2878826, ,
1759875833.2882073, 641
1759875833.4883819, 4110
1759875833.488573, ,
1759875833.4888601, 641
1759875833.6891577, 4311
1759875833.6893506, ,
1759875833.6896343, 640
1759875833.8897836, 4511
1759875833.889974, ,
1759875833.890261, 642
1759875834.090504, 4712
1759875834.0906959, ,
1759875834.0909805, 642
1759875834.2912207, 4912
1759875834.291419, ,
1759875834.291705, 641
1759875834.4918761, 5112
1759875834.492108, ,
1759875834.4923933, 639
1759875834.6926177, 5313
1759875834.692814, ,
1759875834.693098, 642
1759875834.8932562, 5514
1759875834.8934417, ,
1759875834.8937254, 640
1759875835.093975, 5714
