time_ms,adc
99,580
300,638
500,639
701,640
901,640
1101,638
1302,640
1503,640
1703,638
1903,640
2104,638
2305,638
2505,638
2706,640
2906,639
3106,639
3307,640
3508,639
3708,640
3908,639
4109,640
4310,640
4510,640
4711,640
4911,640
5111,638
5312,640
5513,639
5712,640
5913,639
6114,640
6315,639
6515,640
6715,638
6916,640
7116,638
7317,639
7518,639
7717,640
7918,640
8119,640
8320,640
8520,638
8720,640
8921,639
9121,640
9322,639
9523,639
9722,640
9923,639
10124,638
10324,639
10525,640
10725,639
10926,639
11126,639
11327,639
11528,640
11728,640
11929,640
12129,640
12329,640
12530,638
12731,639
12932,640
13132,639
13332,640
13533,640
13733,638
13934,640
14135,640
14336,640
14535,639
14736,638
14937,638
15137,639
15338,640
15539,640
15738,638
15939,639
16140,639
16340,640
16541,639
16742,639
16942,639
17142,640
17343,640
17544,638
17744,640
17945,638
18145,639
18345,640
18546,639
18747,638
18948,640
19148,639
19349,638
19549,640
19749,640
19950,639
20151,638
20352,638
20552,639
20752,638
20953,638
21153,640
21354,640
21555,638
21755,639
21955,639
22156,639
22356,640
22557,639
22758,640
22959,639
23158,640
23359,640
23560,639
23760,640
23961,640
24162,640
24361,638
24562,639
24763,640
24964,639
25164,639
25365,640
25565,640
25765,640
25966,640
26167,638
26368,640
26568,640
26769,638
26969,639
27169,638
27370,639
27571,640
27771,640
27972,640
28172,640
28372,640
28573,640
28774,640
28975,638
29175,640
29375,640
29576,639
29776,639
29977,640
30178,638
30379,639
30578,639
30779,639
30980,640
31180,640
31381,638
31582,640
31781,639
31982,639
32183,640
32384,640
32584,640
32785,639
32985,639
33185,640
33386,638
33587,640
33787,640
33988,640
34189,639
34388,638
34589,640
34790,639
34991,640
35191,640
35392,640
35592,638
35792,639
35993,640
36194,638
36395,638
36595,640
36795,638
36996,640
37196,639
37397,640
37598,640
37798,640
37998,638
38199,639
38400,640
38600,640
38801,638
39002,638
39202,638
39402,639
39603,640
39803,640
40004,639
40205,640
40406,640
40605,639
40806,639
41007,640
41207,640
41408,640
41609,638
41808,639
42009,640
42210,641
42411,639
42611,640
42812,639
43012,638
43212,639
43413,639
43614,639
43814,640
44015,640
44215,640
44416,638
44616,640
44817,639
45018,638
45218,640
45418,638
45619,638
45819,639
46020,638
46221,640
46422,639
46622,640
46822,639
47023,638
47223,638
47424,638
47625,639
47825,640
48025,640
48226,639
48427,638
48627,639
48828,640
49029,638
49228,640
49429,640
49630,640
49830,640
50031,646
50232,638
50432,638
50632,640
50833,640
51034,640
51234,638
51435,638
51635,637
51835,638
52036,639
52237,637
52438,638
52638,638
52839,637
53039,638
53239,637
53440,639
53641,637
53841,639
54042,638
54242,639
54443,637
54643,638
54844,637
