time_ms,adc
99,334
110,335
120,334
131,334
141,334
151,334
162,334
173,334
183,334
193,334
204,334
215,334
225,334
235,334
245,334
257,335
267,334
277,335
287,334
297,334
309,334
319,334
329,334
339,333
350,334
361,334
371,334
381,334
392,334
402,335
413,335
423,334
434,334
444,334
454,334
465,334
476,334
486,334
496,335
506,334
518,335
528,333
538,333
548,334
559,334
570,334
580,334
590,334
601,334
611,334
622,334
632,334
643,334
653,334
664,334
674,334
685,334
695,333
705,335
716,334
727,335
737,334
747,334
757,334
769,334
779,334
789,333
799,334
809,334
821,335
831,334
841,334
851,334
862,334
873,334
883,334
893,334
904,334
914,334
925,334
935,334
946,335
956,334
966,334
977,334
988,334
998,334
1008,334
1019,334
1030,334
1040,334
1050,334
1061,334
1072,334
1082,334
1092,333
1103,335
1114,334
1124,334
1134,334
1144,334
1156,334
1166,334
1176,334
1186,335
1198,334
1208,335
1218,334
1228,334
1240,333
1250,334
1260,334
1270,334
1282,334
1292,334
1302,334
1312,334
1324,334
1334,334
1344,334
1354,334
1366,334
1376,334
1386,334
1396,334
1408,334
1418,335
1428,335
1438,335
1449,335
1460,334
1470,334
1480,333
1491,334
1502,334
1512,334
1522,334
1533,334
1544,334
1554,334
1564,334
1575,334
1586,334
1596,334
1606,334
1617,334
1628,334
1638,335
1648,334
1659,334
1670,334
1680,334
1690,335
1701,334
1712,334
1722,334
1732,334
1743,334
1754,334
1764,334
1774,334
1785,334
1796,333
1806,333
1816,334
1827,334
1838,333
1848,333
1858,333
1869,334
1880,334
1890,333
1900,334
1911,333
1922,335
1932,334
1942,334
1953,334
1964,333
1974,334
1984,333
1995,334
2006,333
2016,334
2026,333
2037,333
2048,334
2058,333
2068,333
2079,333
2089,333
2100,334
2110,333
2121,334
2131,333
2142,333
2152,334
2163,333
2173,333
2184,334
2194,334
2205,333
2215,333
2226,333
2236,334
2247,333
2257,334
2268,334
2278,334
2289,334
2299,333
2310,333
2320,333
2331,333
2341,333
2352,334
2362,333
2373,333
2383,334
2394,333
2404,334
2414,334
2425,334
2436,334
2446,334
2456,334
2467,333
2478,334
2488,334
2498,334
2509,333
2520,334
2530,333
2540,333
2551,334
2562,334
2572,333
2582,333
2593,334
2604,333
2614,333
2624,333
2635,333
2646,334
2656,333
2666,334
2677,334
2688,334
2698,333
2708,333
2719,334
2729,333
2740,333
2750,333
2761,333
2771,333
2782,333
2792,334
2803,333
2813,334
2824,333
2834,334
2845,333
2855,333
2866,334
2876,333
2887,334
2897,333
2908,334
2918,335
2929,334
2939,334
2950,334
2960,334
2971,334
2981,333
2992,333
3002,333
3013,333
3023,333
3034,334
3044,333
3055,334
3065,333
3076,333
3086,333
3097,334
3107,333
3118,334
3128,333
3139,333
3149,334
3160,334
3170,334
3181,333
3191,333
3202,333
3212,333
3222,333
3233,334
3244,333
3254,333
3264,334
3275,334
3286,333
3296,333
3306,333
3317,333
3328,333
3338,333
3348,333
3359,333
3369,333
3380,333
3390,333
3401,335
3411,334
3422,334
3432,335
3443,334
3453,333
3464,333
3474,333
3485,334
3495,333
3506,333
3516,334
3527,333
3537,333
3548,333
3558,334
3569,333
3579,333
3590,334
3600,334
3611,334
3621,333
3632,334
3642,333
3653,334
3663,334
3674,333
3684,335
3695,333
3705,333
3716,333
3726,333
3737,333
3747,333
3758,333
3768,333
3779,333
3789,334
3800,333
3810,334
3821,333
3831,333
3842,333
3852,334
3863,334
3873,334
3884,335
3894,335
3905,334
3915,335
3926,334
3936,334
3946,334
3957,334
3968,335
3978,334
3988,334
3999,334
4009,334
4020,335
4030,334
4041,334
4051,334
4062,334
4072,334
4083,334
4093,334
4104,334
4114,334
4125,334
4135,334
4146,335
4156,334
4167,335
4177,334
4188,334
4198,335
4209,334
4219,334
4230,334
4240,334
4251,335
4261,334
4272,334
4282,334
4293,334
4303,334
4314,334
4324,334
4335,334
4345,334
4356,334
4366,334
4377,335
4387,334
4398,335
4408,335
4419,334
4429,334
4440,334
4450,334
4461,334
4471,334
4482,334
4492,334
4503,334
4513,333
4524,334
4534,334
4545,334
4555,334
4566,334
4576,334
4587,334
4597,334
4608,334
4618,334
4629,335
4639,335
4649,334
4660,335
4670,334
4681,334
4691,334
4702,334
4712,334
4723,334
4733,334
4744,334
4754,334
4765,334
4775,333
4786,334
4796,334
4807,334
4817,334
4828,334
4838,334
4849,334
4859,334
4870,334
4880,334
4891,334
4901,335
4912,334
4922,333
4933,334
4943,334
4954,334
4964,334
4975,334
4985,334
4996,334
5006,334
5017,334
5027,334
5038,334
5048,334
5059,334
5069,334
5080,334
5090,334
5101,334
5111,334
5122,335
5132,335
5143,334
5153,334
5164,334
5174,334
5185,334
5195,334
5206,334
5216,334
5227,334
5237,334
5248,334
5258,334
5269,334
5279,334
5289,334
5300,334
5311,334
5321,335
5331,334
5342,334
5352,334
5363,335
5373,334
5384,335
5394,334
5405,334
5415,335
5426,335
5436,334
5447,333
5457,334
5468,334
5478,334
5489,334
5499,334
5510,334
5520,334
5531,335
5541,334
5552,334
5562,334
5573,334
5583,334
5594,334
5604,334
5615,335
5625,335
5636,334
5646,334
5657,334
5667,334
5678,334
5688,333
5699,334
5709,333
5720,334
5730,334
5741,333
5751,333
5762,333
5772,333
5783,333
5793,333
5804,333
5814,333
5825,333
5835,333
5846,333
5856,334
5867,334
5877,334
5888,333
5898,334
5909,333
5919,333
5929,333
5940,334
5951,333
5961,333
5971,333
5982,334
5992,333
6003,333
6013,333
6024,333
6034,333
6045,333
6055,333
6066,333
6076,333
6087,333
6097,334
6108,334
6118,333
6129,334
6139,334
6150,333
6160,333
6171,333
6181,334
6192,333
6202,334
6213,333
6223,333
6234,334
6244,333
6255,334
6265,333
6276,333
6286,333
6297,333
6307,333
6318,333
6328,333
6339,333
6349,334
6360,334
6370,334
6381,333
6391,334
6402,333
6412,333
6423,334
6433,334
6444,333
6454,333
6465,334
6475,333
6486,333
6496,334
6507,333
6517,334
6528,333
6538,333
6549,334
6559,333
6569,333
6580,333
6591,333
6601,334
6611,333
6622,334
6633,334
6643,333
6653,333
6664,333
6675,333
6685,334
6695,334
6706,333
6716,333
6727,333
6737,333
6748,333
6758,334
6769,334
6779,333
6790,333
6800,334
6811,333
6821,333
6832,334
6842,333
6853,334
6863,335
6874,333
6884,334
6895,333
6905,333
6916,333
6926,333
6937,334
6947,333
6958,333
6968,334
6979,334
6989,333
7000,333
7010,333
7021,333
7031,334
7042,333
7052,334
7063,333
7073,333
7084,334
7094,334
7105,333
7115,334
7126,334
7136,333
7147,334
7157,333
7168,334
7178,333
7189,333
7199,333
7209,334
7220,333
7231,334
7241,333
7251,334
7262,334
7273,334
7283,333
7293,333
7304,333
7315,334
7325,333
7335,333
7346,334
7356,333
7367,334
7377,333
7388,334
7398,333
7409,333
7419,333
7430,333
7440,334
7451,333
7461,333
7472,334
7482,334
7493,333
7503,333
7514,334
7524,333
7535,334
7545,334
7556,333
7566,334
7577,334
7587,333
7598,334
7608,334
7619,334
7629,333
7640,333
7650,333
7661,333
7671,333
7682,334
7692,333
7703,333
7713,334
7724,334
7734,334
7745,333
7755,333
7766,334
7776,334
7787,333
7797,334
7808,333
7818,333
7829,333
7839,334
7849,334
7860,333
7871,334
7881,334
7891,333
7902,333
7913,333
7923,334
7933,334
7944,333
7954,333
7965,334
7975,333
7986,334
7996,333
8007,333
8017,334
8028,334
8038,334
8049,334
8059,334
8070,334
8080,335
8091,334
8101,335
8112,334
8122,334
8133,335
8143,334
8154,334
8164,334
8175,334
8185,334
8196,334
8206,334
8217,334
8227,334
8238,334
8248,334
8259,334
8269,334
8280,334
8290,334
8301,334
8311,334
8322,334
8332,335
8343,335
8353,334
8364,334
8374,334
8385,334
8395,334
8406,334
8416,334
8427,334
8437,334
8448,334
8458,334
8469,334
8479,334
8489,334
8500,334
8511,333
8521,334
8531,334
8542,334
8553,333
8563,335
8573,334
8584,335
8595,335
8605,334
8615,334
8626,334
8636,334
8647,334
8657,334
8668,334
8678,334
8689,334
8699,335
8710,333
8720,334
8731,334
8741,334
8752,334
8762,334
8773,334
8783,334
8794,334
8804,334
8815,334
8825,335
8836,334
8846,334
8857,334
8867,334
8878,334
8888,334
8899,334
8909,334
8920,334
8930,334
8941,334
8951,334
8962,334
8972,334
8983,334
8993,334
9004,334
9014,334
9025,334
9035,334
9046,334
9056,334
9067,334
9077,334
9088,335
9098,334
9109,335
9119,334
9129,334
9140,334
9151,334
9161,334
9171,334
9182,334
9193,334
9203,334
9213,335
9224,334
9235,334
9245,334
9255,334
9266,334
9276,334
9287,334
9297,334
9308,334
9318,335
9329,334
9339,334
9350,334
9360,334
9371,334
9381,334
9392,333
9402,334
9413,334
9423,333
9434,334
9444,333
9455,334
9465,334
9476,334
9486,334
9497,334
9507,334
9518,334
9528,334
9539,334
9549,335
9560,334
9570,334
9581,335
9591,334
9602,334
9612,334
9623,334
9633,334
9644,333
9654,334
9665,334
9675,334
9686,334
9696,334
9707,333
9717,335
9728,334
9738,334
9749,334
9759,334
9769,334
9780,334
9791,334
9801,334
9811,335
9822,334
9833,335
9843,334
9853,333
9864,334
9874,334
9885,334
9895,334
9906,334
