mtime_ms,adc
100,ovf
110,ovf
120,ovf
131,ovf
141,ovf
152,ovf
162,ovf
173,ovf
183,ovf
194,ovf
204,ovf
215,ovf
225,ovf
235,ovf
246,ovf
257,ovf
267,ovf
277,ovf
287,ovf
299,ovf
309,ovf
319,ovf
329,ovf
339,ovf
351,ovf
361,ovf
371,ovf
381,ovf
393,ovf
403,ovf
413,ovf
423,ovf
434,ovf
445,ovf
455,ovf
465,ovf
476,ovf
486,ovf
497,ovf
507,ovf
518,ovf
528,ovf
539,ovf
549,ovf
560,ovf
570,ovf
580,ovf
591,ovf
602,ovf
612,ovf
622,ovf
632,ovf
644,ovf
654,ovf
664,ovf
674,ovf
685,ovf
696,ovf
706,ovf
716,ovf
727,ovf
738,ovf
748,ovf
758,ovf
769,ovf
779,ovf
790,ovf
800,ovf
811,ovf
821,ovf
831,ovf
842,ovf
852,ovf
863,ovf
873,ovf
884,ovf
894,ovf
905,ovf
915,ovf
925,ovf
936,ovf
947,ovf
957,ovf
967,ovf
977,ovf
989,ovf
999,ovf
1009,ovf
1019,ovf
1031,ovf
1041,ovf
1051,ovf
1061,ovf
1073,ovf
1083,ovf
1093,ovf
1103,ovf
1115,ovf
1125,ovf
1135,ovf
1145,ovf
1157,ovf
1167,ovf
1177,ovf
1187,ovf
1199,ovf
1209,ovf
1219,ovf
1229,ovf
1241,ovf
1251,ovf
1261,ovf
1272,ovf
1283,ovf
1293,ovf
1303,ovf
1314,ovf
1325,ovf
1335,ovf
1345,ovf
1356,ovf
1367,ovf
1377,ovf
1387,ovf
1398,ovf
1409,ovf
1419,ovf
1429,ovf
1440,ovf
1451,ovf
1461,ovf
1471,ovf
1482,ovf
1492,ovf
1503,ovf
1513,ovf
1524,ovf
1534,ovf
1545,ovf
1555,ovf
1566,ovf
1576,ovf
1587,ovf
1598,ovf
1608,ovf
1618,ovf
1629,ovf
1640,ovf
1650,ovf
1660,ovf
1671,ovf
1682,ovf
1692,ovf
1702,ovf
1713,ovf
1724,ovf
1734,ovf
1744,ovf
1755,ovf
1766,ovf
1776,ovf
1786,ovf
1797,ovf
1808,ovf
1818,ovf
1828,ovf
1839,ovf
1850,ovf
1860,ovf
1870,ovf
1881,ovf
1892,ovf
1902,ovf
1912,ovf
1923,ovf
1934,ovf
1944,ovf
1954,ovf
1966,ovf
1976,ovf
1986,ovf
1996,ovf
2008,ovf
2018,ovf
2028,ovf
2038,ovf
2050,ovf
2060,ovf
2070,ovf
2080,ovf
2092,ovf
2102,ovf
2112,ovf
2122,ovf
2134,ovf
2144,ovf
2154,ovf
2164,ovf
2176,ovf
2186,ovf
2196,ovf
2206,ovf
2217,ovf
2228,ovf
2238,ovf
2248,ovf
2259,ovf
2270,ovf
2280,ovf
2291,ovf
2301,ovf
2312,ovf
2322,ovf
2333,ovf
2343,ovf
2354,ovf
2364,ovf
2375,ovf
2385,ovf
2396,ovf
2406,ovf
2417,ovf
2427,ovf
2438,ovf
2448,ovf
2459,ovf
2469,ovf
2480,ovf
2490,ovf
2501,ovf
2511,ovf
2522,ovf
2532,ovf
2543,ovf
2553,ovf
2564,ovf
2574,ovf
2585,ovf
2595,ovf
2606,ovf
2617,ovf
2627,ovf
2637,ovf
2648,ovf
2659,ovf
2669,ovf
2679,ovf
2690,ovf
2701,ovf
2711,ovf
2721,ovf
2732,ovf
2743,ovf
2753,ovf
2763,ovf
2774,ovf
2785,ovf
2795,ovf
2805,ovf
2816,ovf
2827,ovf
2837,ovf
2847,ovf
2857,ovf
2869,ovf
2879,ovf
2889,ovf
2899,ovf
2911,ovf
2921,ovf
2931,ovf
2942,ovf
2953,ovf
2963,ovf
2973,ovf
2984,ovf
2995,ovf
3005,ovf
3015,ovf
3026,ovf
3037,ovf
3047,ovf
3057,ovf
3068,ovf
3079,ovf
3089,ovf
3099,ovf
3110,ovf
3121,ovf
3131,ovf
3141,ovf
3152,ovf
3163,ovf
3173,ovf
3183,ovf
3194,ovf
3205,ovf
3215,ovf
3225,ovf
3236,ovf
3247,ovf
3257,ovf
3267,ovf
3278,ovf
3289,ovf
3299,ovf
3310,ovf
3320,ovf
3331,ovf
3341,ovf
3352,ovf
3362,ovf
3373,ovf
3383,ovf
3394,ovf
3404,ovf
3415,ovf
3425,ovf
3436,ovf
3446,ovf
3457,ovf
3467,ovf
3478,ovf
3488,ovf
3499,ovf
3509,ovf
3520,ovf
3530,ovf
3540,ovf
3551,ovf
3562,ovf
3572,ovf
3582,ovf
3593,ovf
3604,ovf
3614,ovf
3624,ovf
3636,ovf
3646,ovf
3656,ovf
3666,ovf
3678,ovf
3688,ovf
3698,ovf
3708,ovf
3720,ovf
3730,ovf
3740,ovf
3750,ovf
3762,ovf
3772,ovf
3782,ovf
3792,ovf
3804,ovf
3814,ovf
3824,ovf
3834,ovf
3846,ovf
3856,ovf
3866,ovf
3876,ovf
3888,ovf
3898,ovf
3908,ovf
3919,ovf
3930,ovf
3940,ovf
3950,ovf
3961,ovf
3972,ovf
3982,ovf
3992,ovf
4003,ovf
4014,ovf
4024,ovf
4034,ovf
4045,ovf
4056,ovf
4066,ovf
4076,ovf
4087,ovf
4098,ovf
4108,ovf
4118,ovf
4129,ovf
4140,ovf
4150,ovf
4160,ovf
4171,ovf
4182,ovf
4192,ovf
4203,ovf
4213,ovf
4224,ovf
4234,ovf
4245,ovf
4255,ovf
4265,ovf
4276,ovf
4287,ovf
4297,ovf
4307,ovf
4318,ovf
4329,ovf
4339,ovf
4349,ovf
4360,ovf
4371,ovf
4381,ovf
4391,ovf
4402,ovf
4413,ovf
4423,ovf
4433,ovf
4444,ovf
4455,ovf
4465,ovf
4475,ovf
4487,ovf
4497,ovf
4507,ovf
4517,ovf
4529,ovf
4539,ovf
4549,ovf
4559,ovf
4571,ovf
4581,ovf
4591,ovf
4601,ovf
4613,ovf
4623,ovf
4633,ovf
4643,ovf
4655,ovf
4665,ovf
4675,ovf
4685,ovf
4697,ovf
4707,ovf
4717,ovf
4727,ovf
4739,ovf
4749,ovf
4759,ovf
4770,ovf
4781,ovf
4791,ovf
4801,ovf
4812,ovf
4823,ovf
4833,ovf
4843,ovf
4854,ovf
4865,ovf
4875,ovf
4885,ovf
4896,ovf
4907,ovf
4917,ovf
4927,ovf
4938,ovf
4948,ovf
4959,ovf
4969,ovf
4980,ovf
4990,ovf
5001,ovf
5011,ovf
5022,ovf
5032,ovf
5043,ovf
5053,ovf
5064,ovf
5074,ovf
5085,ovf
5096,ovf
5106,ovf
5116,ovf
5127,ovf
5138,ovf
5148,ovf
5158,ovf
5169,ovf
5180,ovf
5190,ovf
5200,ovf
5211,ovf
5222,ovf
5232,ovf
5242,ovf
5253,ovf
5264,ovf
5274,ovf
5284,ovf
5295,ovf
5306,ovf
5316,ovf
5326,ovf
5337,ovf
5348,ovf
5358,ovf
5368,ovf
5379,ovf
5390,ovf
5400,ovf
5410,ovf
5422,ovf
5432,ovf
5442,ovf
5452,ovf
5464,ovf
5474,ovf
5484,ovf
5494,ovf
5506,ovf
5516,ovf
5526,ovf
5536,ovf
5548,ovf
5558,ovf
5568,ovf
5578,ovf
5590,ovf
5600,ovf
5610,ovf
5620,ovf
5632,ovf
5642,ovf
5652,ovf
5663,ovf
5673,ovf
5684,ovf
5694,ovf
5705,ovf
5715,ovf
5726,ovf
5736,ovf
5747,ovf
5757,ovf
5768,ovf
5778,ovf
5789,ovf
5799,ovf
5810,ovf
5820,ovf
5831,ovf
5841,ovf
5852,ovf
5862,ovf
